COMPLETEPAPER-67_Q	Evidencing the crude oil corrosion by Raman spectroscopy
COMPLETEPAPER-145_Q	Contribution of fertilizer nitrogen to the total nitrogen extracted by sugarcane under Brazilian field conditions
COMPLETEPAPER-889_Q	Evaluation of solder/substrate thermal conductance and wetting angle of Sn&#45;0
COMPLETEPAPER-3066_Q	Antioxidant activity stimulated by ultraviolet radiation in the nervous system of a crustacean
COMPLETEPAPER-5855_Q	Insecticidal and Repellent Activity of Siparuna guianensis Aubl
COMPLETEPAPER-11449_Q	Evaluation and comparison of a new DOTA and DTPA-bombesin agonist in vitro and in vivo in low and high GRPR expressing prostate and breast tumor models
COMPLETEPAPER-12071_Q	Effect of the treatment with Achyrocline satureioides (free and nanocapsules essential oil) and diminazene aceturate on hematological and biochemical parameters in rats infected by Trypanosoma evansi
COMPLETEPAPER-12072_Q	Sulfamethoxazole-trimethoprim associated with resveratrol for the treatment of toxoplasmosis in mice: Influence on the activity of enzymes involved in brain neurotransmission
COMPLETEPAPER-12806_Q	Cryptic Speciation in The White-Shouldered Antshrike (Thamnophilus Aethiops
COMPLETEPAPER-13070_Q	Fourier transform infrared spectroscopy and near infrared spectroscopy for the quantification of defects in roasted coffees
COMPLETEPAPER-25082_Q	Hydroethanolic extract of the inner stem bark of Cedrela odorata has low toxicity and reduces hyperglycemia induced by an overload of sucrose and glucose
COMPLETEPAPER-25828_Q	Modeling and simulation of mixing in water-in-oil emulsion flow through a valve-like element using a population balance model
COMPLETEPAPER-26448_Q	Severe preeclampsia: Association of genes polymorphisms and maternal cytokines production in Brazilian population
COMPLETEPAPER-26449_Q	ESTROGEN RECEPTOR &#913;LPHA GENE (ESR1) PVUII AND XBAI POLYMORPHISMS  ARE ASSOCIATED TO METABOLIC AND PROINFLAMMATORY FACTORS IN POLYCYSTIC OVARY SYNDROME
COMPLETEPAPER-29339_Q	Disposal of dredged sediments in tropical soils: ecotoxicological evaluation based on bioassays with springtails and enchytraeids
COMPLETEPAPER-29508_Q	Preparation and characterization of composite polyaniline/poly(vinyl alcohol)/palygorskite
COMPLETEPAPER-29509_Q	Acid-leached mixed vermiculites obtained by treatment with nitric acid
COMPLETEPAPER-29510_Q	Catalytic performance of kenyaite and magadiite lamellar silicates for the production of &#945;
COMPLETEPAPER-29867_Q	Depletion of marine megafauna and shifting baselines among artisanal fishers in eastern Brazil
COMPLETEPAPER-30509_Q	FOXP3 DNA Methylation Levels as a Potential Biomarker in the Development of Periapical Lesions
COMPLETEPAPER-30510_Q	IL-4/CCL22/CCR4 Axis Controls Regulatory T-Cell Migration That Suppresses Inflammatory Bone Loss in Murine Experimental Periodontitis
COMPLETEPAPER-31891_Q	Effects of low-intensity laser therapy over mini-implants success rate in pigs
COMPLETEPAPER-33680_Q	Development and optimization of a new MALDI-TOF protocol for identification of the Sporothrix species complex
COMPLETEPAPER-35872_Q	Modeling the effects of temperature and pH on the resistance of Alicyclobacillus acidoterrestris in conventional heat-treated fruit beverages through a meta-analysis approach
COMPLETEPAPER-40485_Q	Ion exchange prediction model for multi-metal systems obtained from single-metal systems using the macroalga Pelvetia canaliculata (Phaeophyceae) as a natural cation exchanger
COMPLETEPAPER-40672_Q	Antiproliferative activity of synthetic fatty acid amides from renewable resources
COMPLETEPAPER-43194_Q	Optimizing virtual machine allocation for parallel scientific workflows in federated clouds
COMPLETEPAPER-43195_Q	Dynamic steering of HPC scientific workflows: A survey
COMPLETEPAPER-51515_Q	Synthesis of a ruthenium(II) tryptophan-associated complex and biological evaluation against Ehrlich murine breast carcinoma
COMPLETEPAPER-52121_Q	Optical behavior of dental zirconia and dentin analyzed by Kubelka-Munk theory
COMPLETEPAPER-52601_Q	Carbon Dots (C-dots) from Cow Manure with Impressive Subcellular Selectivity Tuned by Simple Chemical Modification
COMPLETEPAPER-55098_Q	Ecological Niche Model used to examine the distribution of an invasive
COMPLETEPAPER-61313_Q	Electrochemical quantification of the structure/antioxidant activity relationship of flavonoids
COMPLETEPAPER-69081_Q	Spectroscopic studies on the in vitro antioxidant capacity of isopentyl ferulate
COMPLETEPAPER-69082_Q	Acute toxicity and anticonvulsant activity of liposomes containing nimodipine on pilocarpine-induced seizures in mice
COMPLETEPAPER-69083_Q	Neuropharmacological effects of carvacryl acetate on &#948;-aminolevulinic dehydratase
COMPLETEPAPER-69084_Q	In vivo evaluation of anticonvulsant and antioxidant effects of phenobarbital microemulsion for transdermal administration in pilocarpine seizure rat model
COMPLETEPAPER-69865_Q	Preference mapping of dulce de leche commercialized in Brazilian markets
COMPLETEPAPER-69867_Q	Removal of COD and nitrogen from animal food plant wastewater in an intermittently-aerated structured-bed reactor
COMPLETEPAPER-69868_Q	Effect of vegetal-oil emulsion and passion fruit peel-powder on sensory acceptance of functional yogurt
COMPLETEPAPER-72751_Q	Inter-machine reliability of the Biodex and Cybex isokinetic dynamometers for knee flexor/extensor isometric
COMPLETEPAPER-72753_Q	Effect of low-level laser therapy on muscle adaptation to knee extensor eccentric training
COMPLETEPAPER-73223_Q	Cytoprotective and genoprotective effects of &#946;-glucans against aflatoxin B1-induced DNA damage in broiler chicken lymphocytes
COMPLETEPAPER-74632_Q	Androgen Receptor and Histone Lysine Demethylases in Ovine Placenta
COMPLETEPAPER-77270_Q	Animal and human enteric viruses in water and sediment samples from dairy farms
COMPLETEPAPER-77271_Q	Molecular detection of human adenovirus in sediment using a direct detection method compared to the classical polyethylene glycol precipitation
COMPLETEPAPER-78018_Q	When do I want to know and why? Different demands on sugarcane yield predictions
COMPLETEPAPER-78845_Q	Immunoprotective potential of a Rhipicephalus (Boophilus) microplus metalloprotease
COMPLETEPAPER-81648_Q	Lipoxin A4 attenuates endothelial dysfunction during experimental cerebral malaria
COMPLETEPAPER-82972_Q	Inhibition of bladder cancer cell proliferation by allyl isothiocyanate (mustard essential oil)
COMPLETEPAPER-85216_Q	Differing Evolutionary Histories of the ACTN3*R577X Polymorphism among the Major Human Geographic Groups
COMPLETEPAPER-85218_Q	Self-assessment of Colour Categories and its Relationship with HLA profiling in Brazilian Bone Marrow Donors
COMPLETEPAPER-87220_Q	Etiology-based classification of brain white matter hyperintensity on magnetic resonance imaging
COMPLETEPAPER-87410_Q	Fuzzy dynamic output feedback control through nonlinear Takagi Sugeno models
COMPLETEPAPER-89111_Q	The larvicidal activity of Agave sisalana against L4 larvae of Aedes aegypti is mediated by internal necrosis and inhibition of nitric oxide production
COMPLETEPAPER-91008_Q	Periapical Cytokine Expression in Sickle Cell Disease
COMPLETEPAPER-91186_Q	Consumers&#146; associations with wellbeing in a food-related context: A cross-cultural study
COMPLETEPAPER-94240_Q	Fast ultrasound-assisted treatment of inorganic fertilizers for mercury determination by atomic absorption spectrometry and microwave-induced plasma spectrometry with the aid of the cold-vapor technique
COMPLETEPAPER-94241_Q	Moringa oleifera: A potential source for production of biodiesel and antioxidant additives
COMPLETEPAPER-94242_Q	Eucalyptus pulp as an adsorbent for biodiesel purification
COMPLETEPAPER-94243_Q	Simultaneous determination of captopril and hydrochlorothiazide on boron-doped diamond electrode by batch injection analysis with multiple pulse amperometric detection
COMPLETEPAPER-94245_Q	Batch-injection stripping voltammetry of zinc at a gold electrode: application for fuel bioethanol analysis
COMPLETEPAPER-96651_Q	Functional plasticity of GAT-3 in avian Muller cells is regulated by neurons via a glutamatergic input
COMPLETEPAPER-96904_Q	FPR2/ALX activation reverses LPS-induced vascular hyporeactivity in aorta and increases survival in a pneumosepsis model
COMPLETEPAPER-97157_Q	Niobium pentoxide as radiopacifying agent of calcium silicate-based material: evaluation of physicochemical and biological properties
COMPLETEPAPER-98022_Q	Is it worth the use of bipolar electrodes in electrolytic wastewater treatment processes?
COMPLETEPAPER-98024_Q	Towards the scale-up of electrolysis with diamond anodes: Effect of stacking on the electrochemical oxidation of 2
COMPLETEPAPER-99298_Q	Effects of Brazil nut consumption on selenium status and cognitive performance in older adults with mild cognitive impairment: a randomized controlled pilot trial
COMPLETEPAPER-99617_Q	Development of a method to quantify clindamycin released from PLGA implants and administrated by intravitreal injections in vitreous humor of rabbits  eyes by UPLC-MS/MS: Application to a comparative pharmacokinetic study and in vivo ocular biocompatibility evaluation
COMPLETEPAPER-101993_Q	Alginate and pectin-based particles coated with globular proteins: Production
COMPLETEPAPER-101994_Q	Ultrasound-assisted formation of annatto seed oil emulsions stabilized by biopolymers
COMPLETEPAPER-103174_Q	The alien flora of Brazilian Caatinga: deliberate introductions expand the contingent of potential invaders
COMPLETEPAPER-108107_Q	Toxicological aspects of trans fat consumption over two sequential generations of rats: Oxidative damage and preference for amphetamine
COMPLETEPAPER-111971_Q	Shape classification using line segment statistics
COMPLETEPAPER-112354_Q	Design and Optimizations for Efficient Regular Expression Matching in DPI Systems
COMPLETEPAPER-114557_Q	Simplifying artificial neural network models of river basin behaviour by an automated procedure for input variable selection
COMPLETEPAPER-116702_Q	Genomic Characterization of Novel Circular ssDNA Viruses from Insectivorous Bats in Southern Brazil
COMPLETEPAPER-117461_Q	Increased tau phosphorylation and receptor for advanced glycation endproducts (RAGE) in the brain of mice infected with Leishmania amazonensis
COMPLETEPAPER-118520_Q	Diode laser irradiation increases microtensile bond strength of dentin
COMPLETEPAPER-121258_Q	Spherically symmetric thick branes cosmological evolution
COMPLETEPAPER-124228_Q	A simple and highly efficient Agrobacterium-mediated transformation protocol for Setaria viridis
COMPLETEPAPER-129110_Q	CA6 impact on the corrosion behavior of cement-bonded spinel-containing refractory castables: An analysis based on thermodynamic simulations
COMPLETEPAPER-129111_Q	Developing nano-bonded refractory castables with enhanced green mechanical properties
COMPLETEPAPER-135724_Q	Indirect cytocompatibility of a low-concentrated hydrogen peroxide bleaching gel to odontoblast-like cells
COMPLETEPAPER-135725_Q	Cytotoxicity of dimethyl sulfoxide (DMSO) in direct contact with odontoblast-like cells
COMPLETEPAPER-136589_Q	Differential modulation of macrophage response elicited by glycoinositolphospholipids and lipophosphoglycan from Leishmania (Viannia) shawi
COMPLETEPAPER-139764_Q	Ketamine ameliorates depressive-like behaviors and immune alterations in adult rats following maternal deprivation
COMPLETEPAPER-139765_Q	The impact of cognitive impairment on perceived workforce performance: Results from the International Mood Disorders Collaborative Project
COMPLETEPAPER-139766_Q	The prevalence and illness characteristics of DSM-5-defined -mixed feature specifier- in adults with major depressive disorder and bipolar disorder: Results from the International Mood Disorders Collaborative Project
COMPLETEPAPER-139767_Q	Screening for bipolar spectrum disorders: A comprehensive meta-analysis of accuracy studies
COMPLETEPAPER-140720_Q	RTG1 and RTG2-Dependent Retrograde Signaling Control Mitochondrial Activity and Stress Resistance in S
COMPLETEPAPER-141115_Q	Metabolic risk and television time in adolescent females
COMPLETEPAPER-141116_Q	Prevalence of dyslipidemia in adolescents: Comparison between definitions
COMPLETEPAPER-141117_Q	Physical inactivity of adults and 1-year health care expenditures in Brazil
COMPLETEPAPER-143683_Q	Cadmium exposure inhibits MMP2 and MMP9 activities in the prostate and testis
